user_id,last_buy_date,F,R,R_Score,F_Score,用户标签
100347,2017-11-30,2,3,3,2,发展用户
1003474,2017-11-29,1,4,2,1,挽留用户
1003553,2017-11-26,2,7,1,2,挽留用户
1003577,2017-11-30,2,3,3,2,发展用户
1003599,2017-12-03,5,0,5,3,价值用户
1003605,2017-11-28,3,5,2,3,保持用户
1003622,2017-11-30,1,3,3,1,发展用户
1003625,2017-12-02,1,1,4,1,发展用户
1003636,2017-12-03,8,0,5,4,价值用户
100369,2017-11-29,2,4,2,2,挽留用户
1003741,2017-12-02,2,1,4,2,发展用户
1003750,2017-11-27,1,6,1,1,挽留用户
100380,2017-11-30,2,3,3,2,发展用户
1003817,2017-11-30,7,3,3,4,价值用户
1003848,2017-12-02,2,1,4,2,发展用户
1003894,2017-11-27,1,6,1,1,挽留用户
1003898,2017-12-02,3,1,4,3,价值用户
1003906,2017-12-03,8,0,5,4,价值用户
1003940,2017-12-03,3,0,5,3,价值用户
1003954,2017-12-02,2,1,4,2,发展用户
1004009,2017-11-28,1,5,2,1,挽留用户
1004011,2017-12-01,4,2,3,3,价值用户
1004043,2017-12-03,3,0,5,3,价值用户
1004065,2017-12-02,2,1,4,2,发展用户
1004066,2017-11-28,1,5,2,1,挽留用户
1004163,2017-12-03,7,0,5,4,价值用户
100421,2017-12-03,2,0,5,2,发展用户
1004221,2017-12-03,3,0,5,3,价值用户
1004228,2017-11-30,6,3,3,4,价值用户
1004249,2017-12-03,1,0,5,1,发展用户
1004292,2017-11-25,1,8,1,1,挽留用户
1004339,2017-12-02,5,1,4,3,价值用户
1004370,2017-11-30,2,3,3,2,发展用户
1004382,2017-11-28,4,5,2,3,保持用户
1004393,2017-12-02,6,1,4,4,价值用户
1004421,2017-11-30,2,3,3,2,发展用户
1004426,2017-12-02,1,1,4,1,发展用户
1004509,2017-11-26,1,7,1,1,挽留用户
100451,2017-12-03,3,0,5,3,价值用户
1004572,2017-12-01,5,2,3,3,价值用户
1004620,2017-12-02,1,1,4,1,发展用户
1004651,2017-12-01,2,2,3,2,发展用户
1004706,2017-12-03,13,0,5,5,价值用户
1004743,2017-12-02,2,1,4,2,发展用户
1004747,2017-12-03,2,0,5,2,发展用户
1004765,2017-11-28,2,5,2,2,挽留用户
1004767,2017-11-25,1,8,1,1,挽留用户
1004782,2017-12-01,9,2,3,4,价值用户
1004817,2017-11-27,1,6,1,1,挽留用户
1004818,2017-11-26,2,7,1,2,挽留用户
100483,2017-12-02,6,1,4,4,价值用户
1004891,2017-11-28,1,5,2,1,挽留用户
1004918,2017-12-02,4,1,4,3,价值用户
1004958,2017-11-27,1,6,1,1,挽留用户
1004986,2017-11-25,1,8,1,1,挽留用户
1004999,2017-11-30,6,3,3,4,价值用户
1005016,2017-12-01,2,2,3,2,发展用户
1005022,2017-11-26,1,7,1,1,挽留用户
1005039,2017-12-03,1,0,5,1,发展用户
1005061,2017-11-29,1,4,2,1,挽留用户
1005103,2017-12-02,2,1,4,2,发展用户
1005130,2017-12-03,6,0,5,4,价值用户
1005145,2017-11-30,2,3,3,2,发展用户
1005150,2017-11-27,1,6,1,1,挽留用户
1005156,2017-11-30,10,3,3,4,价值用户
1005191,2017-11-28,1,5,2,1,挽留用户
1005226,2017-12-02,3,1,4,3,价值用户
1005248,2017-12-01,2,2,3,2,发展用户
1005252,2017-12-02,2,1,4,2,发展用户
1005261,2017-11-26,2,7,1,2,挽留用户
1005268,2017-11-27,1,6,1,1,挽留用户
1005281,2017-11-30,3,3,3,3,价值用户
1005284,2017-12-03,11,0,5,5,价值用户
100531,2017-12-01,2,2,3,2,发展用户
1005318,2017-12-03,6,0,5,4,价值用户
1005335,2017-11-27,1,6,1,1,挽留用户
1005336,2017-11-27,1,6,1,1,挽留用户
1005358,2017-11-30,1,3,3,1,发展用户
1005366,2017-11-30,2,3,3,2,发展用户
1005379,2017-11-26,4,7,1,3,保持用户
1005429,2017-12-03,1,0,5,1,发展用户
1005445,2017-11-25,1,8,1,1,挽留用户
1005451,2017-12-03,8,0,5,4,价值用户
100547,2017-11-27,2,6,1,2,挽留用户
1005582,2017-12-02,5,1,4,3,价值用户
1005612,2017-11-25,2,8,1,2,挽留用户
1005615,2017-12-03,1,0,5,1,发展用户
100563,2017-12-03,1,0,5,1,发展用户
1005635,2017-12-03,3,0,5,3,价值用户
1005649,2017-11-28,12,5,2,5,保持用户
10057,2017-12-01,5,2,3,3,价值用户
1005758,2017-12-02,4,1,4,3,价值用户
1005785,2017-12-01,2,2,3,2,发展用户
1005788,2017-11-28,1,5,2,1,挽留用户
100581,2017-11-28,1,5,2,1,挽留用户
1005820,2017-12-03,3,0,5,3,价值用户
1005901,2017-12-03,7,0,5,4,价值用户
1005939,2017-11-30,1,3,3,1,发展用户
100594,2017-12-01,3,2,3,3,价值用户
1005948,2017-12-03,4,0,5,3,价值用户
1006054,2017-12-02,3,1,4,3,价值用户
100608,2017-12-01,1,2,3,1,发展用户
1006113,2017-11-28,2,5,2,2,挽留用户
1006181,2017-11-29,3,4,2,3,保持用户
1006231,2017-11-30,4,3,3,3,价值用户
1006247,2017-11-30,1,3,3,1,发展用户
1006251,2017-11-30,6,3,3,4,价值用户
1006291,2017-11-30,11,3,3,5,价值用户
1006293,2017-11-30,5,3,3,3,价值用户
1006298,2017-12-03,4,0,5,3,价值用户
1006336,2017-11-28,1,5,2,1,挽留用户
1006365,2017-12-03,2,0,5,2,发展用户
1006376,2017-12-03,8,0,5,4,价值用户
1006397,2017-12-02,6,1,4,4,价值用户
1006398,2017-12-02,1,1,4,1,发展用户
10064,2017-12-02,2,1,4,2,发展用户
1006421,2017-11-29,2,4,2,2,挽留用户
1006486,2017-12-03,3,0,5,3,价值用户
100652,2017-12-03,5,0,5,3,价值用户
1006543,2017-12-01,1,2,3,1,发展用户
1006621,2017-12-02,1,1,4,1,发展用户
1006697,2017-12-03,4,0,5,3,价值用户
100670,2017-12-03,1,0,5,1,发展用户
1006723,2017-11-29,2,4,2,2,挽留用户
1006729,2017-12-03,2,0,5,2,发展用户
1006734,2017-11-27,1,6,1,1,挽留用户
1006844,2017-12-03,4,0,5,3,价值用户
1006846,2017-11-26,1,7,1,1,挽留用户
1006864,2017-11-30,4,3,3,3,价值用户
1006887,2017-12-01,8,2,3,4,价值用户
100689,2017-11-28,2,5,2,2,挽留用户
1006894,2017-11-28,4,5,2,3,保持用户
1006943,2017-11-28,1,5,2,1,挽留用户
1006952,2017-12-03,2,0,5,2,发展用户
1006964,2017-12-03,4,0,5,3,价值用户
1006979,2017-11-30,6,3,3,4,价值用户
1006982,2017-11-26,5,7,1,3,保持用户
100700,2017-11-27,2,6,1,2,挽留用户
1007031,2017-11-29,2,4,2,2,挽留用户
1007098,2017-12-01,3,2,3,3,价值用户
1007138,2017-11-25,18,8,1,5,保持用户
1007208,2017-12-03,3,0,5,3,价值用户
1007260,2017-11-29,1,4,2,1,挽留用户
1007275,2017-12-02,1,1,4,1,发展用户
1007297,2017-12-03,6,0,5,4,价值用户
1007305,2017-11-27,1,6,1,1,挽留用户
1007312,2017-11-29,2,4,2,2,挽留用户
1007326,2017-11-26,1,7,1,1,挽留用户
1007418,2017-12-01,4,2,3,3,价值用户
1007431,2017-12-03,6,0,5,4,价值用户
1007550,2017-12-01,1,2,3,1,发展用户
1007558,2017-11-30,8,3,3,4,价值用户
1007599,2017-11-28,3,5,2,3,保持用户
1007610,2017-12-01,1,2,3,1,发展用户
1007645,2017-11-26,3,7,1,3,保持用户
1007698,2017-11-28,2,5,2,2,挽留用户
100772,2017-12-03,2,0,5,2,发展用户
1007731,2017-12-01,3,2,3,3,价值用户
1007778,2017-12-02,2,1,4,2,发展用户
100778,2017-12-01,7,2,3,4,价值用户
1007792,2017-12-02,1,1,4,1,发展用户
1007821,2017-12-01,2,2,3,2,发展用户
1007906,2017-12-02,2,1,4,2,发展用户
1007945,2017-11-27,1,6,1,1,挽留用户
1007993,2017-12-01,3,2,3,3,价值用户
1008009,2017-12-02,1,1,4,1,发展用户
1008020,2017-12-02,6,1,4,4,价值用户
1008035,2017-11-27,1,6,1,1,挽留用户
1008037,2017-11-29,1,4,2,1,挽留用户
100812,2017-12-01,5,2,3,3,价值用户
1008133,2017-11-30,8,3,3,4,价值用户
1008180,2017-11-30,4,3,3,3,价值用户
1008185,2017-11-29,2,4,2,2,挽留用户
1008199,2017-12-02,2,1,4,2,发展用户
1008257,2017-12-02,1,1,4,1,发展用户
1008327,2017-12-02,4,1,4,3,价值用户
1008374,2017-11-26,3,7,1,3,保持用户
1008420,2017-11-27,2,6,1,2,挽留用户
1008456,2017-11-29,3,4,2,3,保持用户
1008483,2017-11-25,1,8,1,1,挽留用户
10085,2017-12-03,3,0,5,3,价值用户
1008533,2017-11-30,1,3,3,1,发展用户
100856,2017-12-02,2,1,4,2,发展用户
1008562,2017-12-01,2,2,3,2,发展用户
1008593,2017-11-25,1,8,1,1,挽留用户
1008642,2017-11-29,1,4,2,1,挽留用户
1008644,2017-11-29,1,4,2,1,挽留用户
1008669,2017-12-03,5,0,5,3,价值用户
1008679,2017-12-03,1,0,5,1,发展用户
1008700,2017-12-02,3,1,4,3,价值用户
1008762,2017-12-02,2,1,4,2,发展用户
1008777,2017-12-02,1,1,4,1,发展用户
1008800,2017-11-27,1,6,1,1,挽留用户
1008812,2017-11-28,1,5,2,1,挽留用户
1008816,2017-12-03,3,0,5,3,价值用户
1008823,2017-12-02,6,1,4,4,价值用户
1008829,2017-11-30,1,3,3,1,发展用户
1008830,2017-11-28,17,5,2,5,保持用户
1008831,2017-11-28,3,5,2,3,保持用户
1008839,2017-11-27,2,6,1,2,挽留用户
1008865,2017-11-30,1,3,3,1,发展用户
10089,2017-11-29,1,4,2,1,挽留用户
1008909,2017-11-26,1,7,1,1,挽留用户
1008938,2017-11-30,1,3,3,1,发展用户
1008967,2017-12-03,3,0,5,3,价值用户
1008975,2017-12-03,3,0,5,3,价值用户
1008993,2017-11-30,6,3,3,4,价值用户
1008996,2017-12-02,1,1,4,1,发展用户
1009061,2017-11-29,1,4,2,1,挽留用户
1009100,2017-12-02,6,1,4,4,价值用户
1009101,2017-12-02,4,1,4,3,价值用户
1009106,2017-12-03,4,0,5,3,价值用户
1009114,2017-12-01,2,2,3,2,发展用户
1009137,2017-11-30,1,3,3,1,发展用户
1009162,2017-12-02,3,1,4,3,价值用户
1009166,2017-12-01,4,2,3,3,价值用户
1009275,2017-11-27,2,6,1,2,挽留用户
1009305,2017-11-29,1,4,2,1,挽留用户
1009358,2017-12-02,6,1,4,4,价值用户
1009359,2017-12-02,1,1,4,1,发展用户
1009397,2017-11-30,6,3,3,4,价值用户
100950,2017-11-29,1,4,2,1,挽留用户
1009527,2017-11-27,2,6,1,2,挽留用户
1009559,2017-12-02,4,1,4,3,价值用户
1009561,2017-12-01,1,2,3,1,发展用户
1009578,2017-11-28,1,5,2,1,挽留用户
1009580,2017-11-30,2,3,3,2,发展用户
1009669,2017-12-03,1,0,5,1,发展用户
1009679,2017-12-03,3,0,5,3,价值用户
100970,2017-11-25,1,8,1,1,挽留用户
1009713,2017-12-03,1,0,5,1,发展用户
1009730,2017-12-03,6,0,5,4,价值用户
1009787,2017-12-01,3,2,3,3,价值用户
1009823,2017-12-02,3,1,4,3,价值用户
1009853,2017-12-03,1,0,5,1,发展用户
1009863,2017-11-28,1,5,2,1,挽留用户
1009866,2017-12-02,2,1,4,2,发展用户
1009914,2017-11-30,3,3,3,3,价值用户
1009926,2017-11-29,3,4,2,3,保持用户
1010034,2017-11-30,8,3,3,4,价值用户
1010039,2017-12-02,1,1,4,1,发展用户
1010043,2017-12-01,2,2,3,2,发展用户
1010066,2017-12-03,2,0,5,2,发展用户
1010169,2017-11-29,2,4,2,2,挽留用户
1010232,2017-12-01,2,2,3,2,发展用户
1010262,2017-11-30,2,3,3,2,发展用户
1010279,2017-12-02,3,1,4,3,价值用户
101032,2017-12-03,1,0,5,1,发展用户
1010333,2017-12-01,16,2,3,5,价值用户
1010354,2017-12-02,9,1,4,4,价值用户
1010422,2017-12-02,1,1,4,1,发展用户
1010482,2017-12-01,8,2,3,4,价值用户
1010524,2017-12-02,3,1,4,3,价值用户
1010537,2017-11-29,1,4,2,1,挽留用户
1010582,2017-11-28,3,5,2,3,保持用户
1010673,2017-12-03,1,0,5,1,发展用户
1010705,2017-11-27,1,6,1,1,挽留用户
1010707,2017-12-01,4,2,3,3,价值用户
1010761,2017-12-02,9,1,4,4,价值用户
101078,2017-11-29,5,4,2,3,保持用户
1010783,2017-11-29,2,4,2,2,挽留用户
1010785,2017-12-02,10,1,4,4,价值用户
1010824,2017-11-28,1,5,2,1,挽留用户
101085,2017-12-01,3,2,3,3,价值用户
1010857,2017-12-03,3,0,5,3,价值用户
1010879,2017-12-03,9,0,5,4,价值用户
1010942,2017-12-03,4,0,5,3,价值用户
101101,2017-11-30,1,3,3,1,发展用户
1011024,2017-11-28,1,5,2,1,挽留用户
1011063,2017-11-30,2,3,3,2,发展用户
1011118,2017-11-30,2,3,3,2,发展用户
1011131,2017-11-30,1,3,3,1,发展用户
1011134,2017-12-03,4,0,5,3,价值用户
10112,2017-12-02,6,1,4,4,价值用户
1011225,2017-12-03,9,0,5,4,价值用户
1011229,2017-12-03,2,0,5,2,发展用户
1011230,2017-11-28,1,5,2,1,挽留用户
1011258,2017-11-25,1,8,1,1,挽留用户
101127,2017-12-01,4,2,3,3,价值用户
1011301,2017-12-03,3,0,5,3,价值用户
1011318,2017-12-03,11,0,5,5,价值用户
1011348,2017-11-26,1,7,1,1,挽留用户
101138,2017-12-03,1,0,5,1,发展用户
1011384,2017-11-29,1,4,2,1,挽留用户
1011385,2017-11-30,1,3,3,1,发展用户
101148,2017-12-02,4,1,4,3,价值用户
1011500,2017-12-03,2,0,5,2,发展用户
1011564,2017-12-03,2,0,5,2,发展用户
101162,2017-12-01,2,2,3,2,发展用户
1011631,2017-11-30,2,3,3,2,发展用户
1011677,2017-12-01,1,2,3,1,发展用户
1011709,2017-11-30,7,3,3,4,价值用户
1011723,2017-11-29,2,4,2,2,挽留用户
1011729,2017-11-30,4,3,3,3,价值用户
1011750,2017-12-02,2,1,4,2,发展用户
1011760,2017-12-02,2,1,4,2,发展用户
1011761,2017-12-02,3,1,4,3,价值用户
1011765,2017-12-01,3,2,3,3,价值用户
1011769,2017-12-03,2,0,5,2,发展用户
1011781,2017-12-01,2,2,3,2,发展用户
1011816,2017-11-28,2,5,2,2,挽留用户
1011865,2017-11-30,1,3,3,1,发展用户
1011866,2017-12-03,2,0,5,2,发展用户
1011878,2017-11-25,1,8,1,1,挽留用户
1011880,2017-12-02,3,1,4,3,价值用户
10119,2017-11-28,2,5,2,2,挽留用户
1011934,2017-11-30,1,3,3,1,发展用户
1011944,2017-11-30,2,3,3,2,发展用户
1011966,2017-11-30,3,3,3,3,价值用户
1011985,2017-12-03,6,0,5,4,价值用户
1012012,2017-11-28,1,5,2,1,挽留用户
1012045,2017-11-29,1,4,2,1,挽留用户
1012059,2017-12-02,1,1,4,1,发展用户
1012060,2017-12-03,2,0,5,2,发展用户
1012126,2017-11-30,4,3,3,3,价值用户
1012276,2017-12-01,3,2,3,3,价值用户
1012293,2017-11-29,4,4,2,3,保持用户
1012331,2017-12-02,5,1,4,3,价值用户
1012350,2017-12-02,3,1,4,3,价值用户
1012374,2017-12-03,6,0,5,4,价值用户
1012378,2017-12-01,1,2,3,1,发展用户
1012393,2017-11-28,1,5,2,1,挽留用户
1012444,2017-12-01,1,2,3,1,发展用户
1012466,2017-12-03,4,0,5,3,价值用户
1012487,2017-11-27,1,6,1,1,挽留用户
1012504,2017-12-02,2,1,4,2,发展用户
1012550,2017-11-30,2,3,3,2,发展用户
1012584,2017-12-03,7,0,5,4,价值用户
1012590,2017-11-26,2,7,1,2,挽留用户
1012622,2017-12-01,5,2,3,3,价值用户
1012641,2017-11-28,2,5,2,2,挽留用户
1012657,2017-12-03,8,0,5,4,价值用户
1012661,2017-12-01,6,2,3,4,价值用户
1012664,2017-12-03,3,0,5,3,价值用户
1012684,2017-11-30,2,3,3,2,发展用户
1012687,2017-11-26,2,7,1,2,挽留用户
1012695,2017-11-26,5,7,1,3,保持用户
1012700,2017-12-02,6,1,4,4,价值用户
1012729,2017-12-02,3,1,4,3,价值用户
1012737,2017-11-27,1,6,1,1,挽留用户
1012820,2017-11-28,2,5,2,2,挽留用户
1012828,2017-12-02,4,1,4,3,价值用户
1012837,2017-12-03,1,0,5,1,发展用户
1012868,2017-12-01,3,2,3,3,价值用户
1012899,2017-12-03,6,0,5,4,价值用户
1012980,2017-12-02,2,1,4,2,发展用户
1012988,2017-11-25,1,8,1,1,挽留用户
1013059,2017-12-03,1,0,5,1,发展用户
1013060,2017-11-28,3,5,2,3,保持用户
1013088,2017-11-30,1,3,3,1,发展用户
101315,2017-12-03,4,0,5,3,价值用户
101322,2017-11-26,1,7,1,1,挽留用户
1013232,2017-11-29,2,4,2,2,挽留用户
1013263,2017-12-02,6,1,4,4,价值用户
1013268,2017-12-03,5,0,5,3,价值用户
1013282,2017-11-28,1,5,2,1,挽留用户
1013335,2017-11-28,1,5,2,1,挽留用户
1013394,2017-12-02,1,1,4,1,发展用户
1013397,2017-11-26,1,7,1,1,挽留用户
101340,2017-11-28,1,5,2,1,挽留用户
1013426,2017-11-25,1,8,1,1,挽留用户
101343,2017-11-25,2,8,1,2,挽留用户
1013430,2017-12-01,5,2,3,3,价值用户
1013447,2017-12-01,1,2,3,1,发展用户
101346,2017-12-03,2,0,5,2,发展用户
1013464,2017-12-01,2,2,3,2,发展用户
10135,2017-12-02,1,1,4,1,发展用户
1013505,2017-11-27,1,6,1,1,挽留用户
1013507,2017-11-28,2,5,2,2,挽留用户
1013586,2017-12-01,7,2,3,4,价值用户
1013593,2017-12-03,5,0,5,3,价值用户
1013606,2017-12-03,2,0,5,2,发展用户
1013619,2017-12-02,1,1,4,1,发展用户
1013636,2017-12-03,1,0,5,1,发展用户
1013641,2017-12-03,8,0,5,4,价值用户
1013657,2017-11-30,5,3,3,3,价值用户
1013678,2017-12-02,2,1,4,2,发展用户
1013685,2017-12-02,4,1,4,3,价值用户
1013686,2017-11-30,2,3,3,2,发展用户
1013771,2017-12-02,1,1,4,1,发展用户
1013840,2017-12-01,2,2,3,2,发展用户
101385,2017-12-02,5,1,4,3,价值用户
1013902,2017-12-02,4,1,4,3,价值用户
1013944,2017-12-02,1,1,4,1,发展用户
101397,2017-11-28,2,5,2,2,挽留用户
1013975,2017-12-01,4,2,3,3,价值用户
1013998,2017-12-01,1,2,3,1,发展用户
1014004,2017-12-03,2,0,5,2,发展用户
1014020,2017-12-03,6,0,5,4,价值用户
1014050,2017-12-03,2,0,5,2,发展用户
1014069,2017-12-03,1,0,5,1,发展用户
1014150,2017-11-25,2,8,1,2,挽留用户
1014181,2017-11-29,6,4,2,4,保持用户
1014204,2017-11-28,1,5,2,1,挽留用户
1014205,2017-12-03,3,0,5,3,价值用户
1014214,2017-12-03,2,0,5,2,发展用户
101425,2017-12-02,2,1,4,2,发展用户
1014276,2017-11-30,1,3,3,1,发展用户
1014288,2017-12-01,1,2,3,1,发展用户
101429,2017-11-27,2,6,1,2,挽留用户
1014420,2017-11-28,1,5,2,1,挽留用户
1014424,2017-11-29,4,4,2,3,保持用户
1014438,2017-12-02,1,1,4,1,发展用户
1014572,2017-12-01,11,2,3,5,价值用户
1014607,2017-11-27,1,6,1,1,挽留用户
1014655,2017-11-29,1,4,2,1,挽留用户
1014658,2017-12-01,2,2,3,2,发展用户
1014684,2017-12-02,2,1,4,2,发展用户
1014716,2017-12-03,7,0,5,4,价值用户
1014731,2017-12-02,1,1,4,1,发展用户
1014774,2017-12-01,12,2,3,5,价值用户
101479,2017-11-27,1,6,1,1,挽留用户
1014794,2017-11-28,1,5,2,1,挽留用户
1014871,2017-11-30,1,3,3,1,发展用户
1014874,2017-11-26,2,7,1,2,挽留用户
1014876,2017-12-03,3,0,5,3,价值用户
1014887,2017-11-28,1,5,2,1,挽留用户
1014914,2017-11-30,2,3,3,2,发展用户
101493,2017-11-29,3,4,2,3,保持用户
1014978,2017-11-26,2,7,1,2,挽留用户
1014982,2017-12-03,3,0,5,3,价值用户
1014997,2017-12-02,3,1,4,3,价值用户
1014998,2017-12-01,1,2,3,1,发展用户
1015066,2017-12-03,6,0,5,4,价值用户
1015081,2017-12-03,9,0,5,4,价值用户
1015083,2017-12-03,6,0,5,4,价值用户
1015131,2017-12-02,4,1,4,3,价值用户
1015137,2017-11-25,1,8,1,1,挽留用户
1015173,2017-11-30,1,3,3,1,发展用户
1015275,2017-11-30,5,3,3,3,价值用户
1015282,2017-12-01,2,2,3,2,发展用户
1015290,2017-12-02,2,1,4,2,发展用户
1015314,2017-11-30,2,3,3,2,发展用户
1015347,2017-11-30,4,3,3,3,价值用户
1015394,2017-11-30,2,3,3,2,发展用户
101541,2017-12-01,3,2,3,3,价值用户
1015411,2017-11-30,2,3,3,2,发展用户
1015430,2017-11-28,2,5,2,2,挽留用户
1015449,2017-12-01,1,2,3,1,发展用户
101545,2017-11-29,1,4,2,1,挽留用户
1015466,2017-11-25,1,8,1,1,挽留用户
1015497,2017-12-02,3,1,4,3,价值用户
